Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
2010: Odyssey Two,Arthur C. Clarke,1982,"Del Rey / Ballantine Books, New York",Science Fiction,"Space Odyssey, Book 2",Hardcover with dust jacket,291,0-345-30305-9,First Edition,First Printing,$25,"Common; large print run, but clean first-printing copies with Michael Whelan-illustrated DJ hold steady demand",7.90,"Nearly perfect, slight shelf/surface scuffing on dust jacket and book only | hasDJ","Sequel to 2001: A Space Odyssey, following a joint US-Soviet mission to Jupiter to investigate the fate of the Discovery and HAL 9000",,Own
2010: Odyssey Two,Arthur C. Clarke,1982,"Del Rey / Ballantine Books, New York",Science Fiction,"Space Odyssey, Book 2",Hardcover,291,0-345-30305-9,First Edition,First Printing (number line to 1),$16,"Common; large print run, but clean first-printing copies with Michael Whelan-illustrated DJ hold steady demand",7.90,"Fine, hasDJ | Fine book; Good dust jacket","Sequel to 2001: A Space Odyssey, following a joint US-Soviet mission to Jupiter to investigate the fate of the Discovery and HAL 9000",,Own
2061: Odyssey Three,Arthur C. Clarke,1987,"Del Rey / Ballantine Books, New York",Science Fiction,"Space Odyssey, Book 3",Hardcover with dust jacket,279,0-345-35173-8,First Edition,Fifth Printing,$8,"Common; later printing, lower demand than genuine first printings",7.24,"Almost perfect, only slight dust jacket wear | hasDJ","Third novel in Clarke's Space Odyssey series, following Heywood Floyd on a mission to Halley's Comet as he again confronts the mystery of the monoliths",,Own
21: The Final Unfinished Voyage of Jack Aubrey,Patrick O'Brian,2004,W. W. Norton & Company,Fiction,Aubrey-Maturin,Hardcover,140,039306025X,First Edition,1st Printing,$15.00,"Uncommon; a modest first-printing run for a posthumous fragment, with fewer surviving copies than the mainline series novels",83,"Near Fine: light wear, hasDJ | dust jacket Good: moderate wear","The unfinished twenty-first novel in O'Brian's Aubrey-Maturin series, presenting the three chapters left in typescript at the author's death alongside a facsimile of his handwritten manuscript.",No,Own
777 and Other Qabalistic Writings of Aleister Crowley,Aleister Crowley (ed. Israel Regardie),1990,"Samuel Weiser, Inc., York Beach, Maine",Occult / Qabalah / Esoterica,,"Paperback, no dust jacket",0,0-87728-670-1,"First Paper Edition (retitled from The Qabalah of Aleister Crowley, 1973)",Fifth Printing,$14,Common; widely reprinted occult reference text,,"Shelf worn, no dust jacket if one was issued | noDJ","Collection of Crowley's Qabalistic writings including 777, Gematria, and Sepher Sephiroth, serving as a key reference work for correspondences across the Hermetic Qabalah and Golden Dawn tradition",,Own
A Court of Thorns and Roses,Sarah J. Maas,2015,"Bloomsbury Publishing, New York",Fantasy / Romance / New Adult,"A Court of Thorns and Roses, Book 1",Hardcover,448,978-1-5476-0417-3,Collector's Edition,"Collector's Edition, 2019",$20,"Common; mass-produced collectible edition, widely available, not scarce",8.32,"Near Mint, noDJ | Near Mint; slipcased, book case cover art with foil, no dust jacket as issued; slipcase itself Fine","Deluxe collector's edition of Sarah J. Maas's debut adult fantasy, following Feyre Archeron after she is taken to the treacherous, magical lands of Prythian by the immortal High Fae Tamlin, where an ancient evil threatens to destroy them both. Includes cloth slipcase with foil art, metallic endpapers, and a newly illustrated map.",,Own
A Dictionary of Symbols,J. E. Cirlot,1971,"Philosophical Library, New York, NY",Reference / Symbolism,,Hardcover with dust jacket,0,0-8022-2083-5,Second Edition,"Reprinted 1974, 1976, 1978, and 1981 (Twice)",$25,Uncommon; valued among scholars and enthusiasts of symbolism,8.28,"Near Fine, protectedDJ | Near Fine; hardcover; dust jacket with only slight wear, protected in plastic","A comprehensive reference work by J.E. Cirlot, translated from the Spanish, offering detailed entries on a vast array of traditional symbols from various cultures and disciplines. Foreword by Herbert Read.",,Own
A Dore Treasury,Gustave Dore (Edited by James Stevens),1970,"Bounty Books, a division of Crown Publishers, Inc.",Art / Illustration,,Hardcover,240,,First Edition,1970 printing,$30,Uncommon; collectible for Dore enthusiasts but not scarce,9,"Very Fine, noDJ | Very Fine (VF): Hardcover; only slight wear; no dust jacket (as issued)","A curated collection of Gustave Doré's most celebrated engravings, edited and introduced by James Stevens. This 1970 Bounty Books edition highlights Doré's masterful illustrations across literature and biblical themes.",No,Own
A Gallery of Famous English and American Poets,Compiled and edited by Henry Coppée,1859,"E. H. Butler & Co., Philadelphia",Poetry Anthology / American & British Literature,,Hardcover,399,,First Edition,1859 First Printing,$85,"Uncommon; scarce 1859 first edition in elaborate gilt-and-blind-tooled full leather with all edges gilt, not widely available in this condition",,"Very Good, noDJ | Very Good; ornate leather binding with wear to raised/tooled surfaces, text block and gilt edges otherwise excellent, no dust jacket as issued","An anthology of English and American poetry compiled by Henry Coppée, Professor of English Literature at the University of Pennsylvania, featuring works by Wordsworth, Byron, Keats, Tennyson, Longfellow, Poe, Whittier, and others, illustrated with a hundred steel engravings. First published in 1859 by E. H. Butler & Co. of Philadelphia.",,Own
A History of the Crusades (Three Volume Set),Steven Runciman,0,Cambridge University Press,History / Medieval Studies,A History of the Crusades,Hardcover,0,,"First Edition set (Vol. I 1951, Vol. II 1952, Vol. III 1954; early reprints for I & II)",Vol. I: Early reprint (1953); Vol. II: Early reprint (1954); Vol. III: First printing (1954),$215,"Uncommon; highly regarded historical work, more desirable as a complete matching set",0,"Very Fine, noDJ | Very Fine (VF) set; no dust jackets; matching bindings; minimal wear; includes all three volumes","Complete three-volume set of Steven Runciman's definitive history of the Crusades, covering the First Crusade and the Foundation of the Kingdom of Jerusalem, the Kingdom of Jerusalem and the Frankish East (1100–1187), and the Kingdom of Acre and the Later Crusades. All volumes in matching Very Fine condition without dust jackets; more desirable and valuable as a complete set.",,Own
A King's Cutter,Richard Woodman,1982,Sheridan House,Fiction,Nathaniel Drinkwater,Paperback,,1574091247,Mariner's Library Edition,,$10.00,Common; widely printed genre fiction with abundant surviving copies,82,"Near Fine: light wear, no dust jacket applicable (paperback)","Second novel in Woodman's Nathaniel Drinkwater series, following the young officer aboard the cutter Kestrel amid secret operations off the French coast during the French Revolution.",No,Own
A Maiden's Grave,Jeffery Deaver,1995,Viking,Fiction,,Hardcover,422,0670866229,First Edition,1st Printing,$10.00,Uncommon; a pre-fame first edition with a smaller original print run than Deaver's later bestsellers,76,"Good: moderate wear, hasDJ, protectedDJ",Deaver's breakout thriller following FBI negotiator Arthur Potter as he faces off against an escaped murderer holding a busload of deaf schoolgirls hostage in an abandoned Kansas slaughterhouse.,No,Own
A Painted House,John Grisham,2001,Doubleday,Fiction,,Hardcover,388,038550120X,First Edition,1st Printing,$5.00,Common; a bestselling title with abundant surviving copies,76,"Very Good: light-moderate wear, hasDJ | dust jacket Fair: heavy wear, edge/corner wear","Grisham's first major departure from legal thrillers, a coming-of-age story narrated by seven-year-old Luke Chandler, drawing on the author's own Arkansas cotton-farming childhood.",No,Own
A Princess of Landover,Terry Brooks,2009,Del Rey,Fiction,Magic Kingdom of Landover,Hardcover,352,0345458524,First Edition,1st Printing,$8.00,Common; a widely distributed first-edition title with abundant surviving copies,78,"Good: moderate wear, hasDJ, protectedDJ","Sixth novel in Brooks's Magic Kingdom of Landover series, following Princess Mistaya as she runs away rather than face an arranged marriage and uncovers a mystery threatening the kingdom.",No,Own
A Time for Patriots,Dale Brown,2011,William Morrow,Techno-Thriller,Patrick McLanahan,Hardcover,400,978-0-06-198999-5,First Edition,First printing,$10,Uncommon; first edition hardcover with matching dust jacket in the used book market,7.8,Near Fine | hasDJ: hardcover with matching dust jacket in excellent condition with minimal wear,"When America's economic collapse turns citizens against their own government, Patrick McLanahan must enlist his son and fellow citizens to hunt down domestic terrorists amid escalating chaos. Seventeenth entry in Dale Brown's Patrick McLanahan series.",No,
Act of Revenge,Dale Brown & Jim DeFelice,2018,William Morrow,Techno-Thriller,Puppet Master,Hardcover,,978-0-06-280413-6,First Edition,First printing,$10,Uncommon; first edition hardcover with matching dust jacket in the used book market,7.6,Near Fine | hasDJ: hardcover with matching dust jacket in excellent condition with minimal wear,"When coordinated terrorist attacks strike Boston on Easter Sunday, robotics innovator Louis Massina deploys his team's bots, drones, and cyber weapons to rescue hostages and hunt down the mastermind behind the assault. Second entry in the Puppet Master series.",No,
Act of War,Dale Brown,2005,William Morrow,Techno-Thriller,Jason Richter,Paperback,,0-06-075307-2,First HarperTorch paperback printing,July 2006,,Common; mass market paperback with abundant used copies in circulation,7.6,Near Fine | noDJ: mass market paperback in excellent condition with minimal wear,"After a Russian oligarch orchestrates nuclear attacks on American soil to eliminate a rival energy company, the President assembles Task Force TALON, a covert unit blending military, law enforcement, and intelligence resources to hunt the perpetrators. First entry in Dale Brown's Jason Richter series and basis for the Act of War video game.",No,
All Out War,Sean Parnell,2019,HarperCollins,Fiction,Eric Steele,Hardcover,,0062668811,First Edition,1st Printing,$6.00,Common; a widely distributed first-edition title with abundant surviving copies,81,"Near Fine: light wear, hasDJ, protectedDJ","Second novel in Parnell's Eric Steele series, following the Alpha operative as he hunts an escaped Russian terrorist plotting an attack that threatens to shatter international alliances.",No,Own
Angel Time,Anne Rice,2009,"Alfred A. Knopf, New York",Horror / Metaphysical Fiction / Thriller,"The Songs of the Seraphim, Book 1",Hardcover,288,978-1-4000-4353-8,First Edition,First Printing,$10,"Common; widely printed bestselling novel by a major author, not scarce",6.66,"Fine, hasDJ | Fine book, spine unopened; Good dust jacket","First novel in Anne Rice's Songs of the Seraphim series, following Toby O'Dare, a contract killer offered a chance at redemption by a mysterious seraph who sends him back to thirteenth-century England to save children accused of ritual murder amid rising persecution of Jews.",,Own
Asimov's Guide to the Bible,Isaac Asimov,1981,Avenel Books,Religion,,Hardcover,1295,0517345820,,15th Printing,$30.00,Common; widely printed reference title with many surviving copies,,"Fine: near new condition, hasDJ, protectedDJ | pages resting slightly lower from shelving otherwise pristine","Combines Asimov's two-volume guide to the Old and New Testaments into a single 1,295-page reference, tracing the historical, geographical, and biographical background of biblical events and figures.",No,Own
